extract_date,specimen_date,number_tested,number_confirmed,number_hospitalized,number_deaths,specimen_date_dt,dt,boro,pct_tested_positive,cumsum_number_tested,cumsum_number_confirmed,cumsum_number_deaths,cumsum_number_hospitalized,cumsum_pct_tested_positive,7-day_rolling_avg_pct_tested_positive,7-day_rolling_avg_number_tested,7-day_rolling_avg_number_confirmed,7-day_rolling_avg_number_hospitalized,7-day_rolling_avg_number_deaths
2020-08-31T00:00:00.000,2020-05-31T00:00:00.000,6753,227,36,9,2020-05-31,2020-08-31,NYC,0.03361468976751074,753477,206544,19296,54880,0.27412117423624077,0.04342784063814107,13181.142857142857,572.4285714285714,58.285714285714285,11.857142857142858
2020-08-31T00:00:00.000,2020-06-01T00:00:00.000,16846,631,58,11,2020-06-01,2020-08-31,NYC,0.03745696307728838,770323,207175,19307,54938,0.26894562410832856,0.04155724395084498,14252.285714285714,592.2857142857143,57.142857142857146,11.285714285714286
2020-08-31T00:00:00.000,2020-06-02T00:00:00.000,15690,552,50,9,2020-06-02,2020-08-31,NYC,0.03518164435946463,786013,207727,19316,54988,0.26427934398031583,0.03848926965815591,13473.142857142857,518.5714285714286,52.714285714285715,9.571428571428571
2020-08-31T00:00:00.000,2020-06-03T00:00:00.000,15074,541,60,17,2020-06-03,2020-08-31,NYC,0.03588961125116094,801087,208268,19333,55048,0.2599817497974627,0.0370016120365395,13292.857142857143,491.85714285714283,51.857142857142854,9.714285714285714
2020-08-31T00:00:00.000,2020-06-04T00:00:00.000,14735,476,51,7,2020-06-04,2020-08-31,NYC,0.032304038004750596,815822,208744,19340,55099,0.25586954016930163,0.03599147029215332,13197.57142857143,475.0,49.57142857142857,9.571428571428571
2020-08-31T00:00:00.000,2020-06-05T00:00:00.000,14511,398,55,7,2020-06-05,2020-08-31,NYC,0.027427468816759698,830333,209142,19347,55154,0.2518772588828819,0.03438002870438829,13138.857142857143,451.7142857142857,49.714285714285715,9.0
2020-08-31T00:00:00.000,2020-06-06T00:00:00.000,8643,250,31,6,2020-06-06,2020-08-31,NYC,0.028925141733194493,838976,209392,19353,55185,0.24958044091845297,0.033332610675107316,13178.857142857143,439.2857142857143,48.714285714285715,9.428571428571429
2020-08-31T00:00:00.000,2020-06-07T00:00:00.000,7120,193,32,2,2020-06-07,2020-08-31,NYC,0.027106741573033707,846096,209585,19355,55217,0.24770829787636392,0.03283343590408016,13231.285714285714,434.42857142857144,48.142857142857146,8.428571428571429
2020-08-31T00:00:00.000,2020-06-08T00:00:00.000,17816,411,37,2,2020-06-08,2020-08-31,NYC,0.023069151324652,863912,209996,19357,55254,0.24307568363444426,0.030142431268631996,13369.857142857143,403.0,45.142857142857146,7.142857142857143
2020-08-31T00:00:00.000,2020-06-09T00:00:00.000,16447,383,35,5,2020-06-09,2020-08-31,NYC,0.023286921627044446,880359,210379,19362,55289,0.23896955673764908,0.028109299811332755,13478.0,378.85714285714283,43.0,6.571428571428571
2020-08-31T00:00:00.000,2020-06-10T00:00:00.000,15105,329,32,5,2020-06-10,2020-08-31,NYC,0.02178086726249586,895464,210708,19367,55321,0.23530594194741497,0.025853756741578988,13482.42857142857,348.57142857142856,39.0,4.857142857142857
2020-08-31T00:00:00.000,2020-06-11T00:00:00.000,13516,296,42,6,2020-06-11,2020-08-31,NYC,0.021899970405445397,908980,211004,19373,55363,0.2321327201918634,0.02425985959337899,13308.285714285714,322.85714285714283,37.714285714285715,4.714285714285714
2020-08-31T00:00:00.000,2020-06-12T00:00:00.000,15698,357,51,9,2020-06-12,2020-08-31,NYC,0.022741750541470252,924678,211361,19382,55414,0.2285779482154869,0.023520059356616673,13477.857142857143,317.0,37.142857142857146,5.0
2020-08-31T00:00:00.000,2020-06-13T00:00:00.000,9145,190,28,2,2020-06-13,2020-08-31,NYC,0.02077638053581192,933823,211551,19384,55442,0.22654293158339428,0.02276297616160764,13549.57142857143,308.42857142857144,36.714285714285715,4.428571428571429
2020-08-31T00:00:00.000,2020-06-14T00:00:00.000,7680,145,25,0,2020-06-14,2020-08-31,NYC,0.018880208333333332,941503,211696,19384,55467,0.22484899145302775,0.022126259079522467,13629.57142857143,301.57142857142856,35.714285714285715,4.142857142857143
2020-08-31T00:00:00.000,2020-06-15T00:00:00.000,18712,317,46,3,2020-06-15,2020-08-31,NYC,0.016941000427533135,960215,212013,19387,55513,0.2207974255765636,0.020944311184490617,13757.57142857143,288.14285714285717,37.0,4.285714285714286
2020-08-31T00:00:00.000,2020-06-16T00:00:00.000,18480,385,52,5,2020-06-16,2020-08-31,NYC,0.020833333333333332,978695,212398,19392,55565,0.21702164617168782,0.02053164659941425,14048.0,288.42857142857144,39.42857142857143,4.285714285714286
2020-08-31T00:00:00.000,2020-06-17T00:00:00.000,17812,335,33,7,2020-06-17,2020-08-31,NYC,0.0188075454749607,996507,212733,19399,55598,0.21347868103284773,0.0200409726552062,14434.714285714286,289.2857142857143,39.57142857142857,4.571428571428571
2020-08-31T00:00:00.000,2020-06-18T00:00:00.000,17711,336,32,2,2020-06-18,2020-08-31,NYC,0.01897126079837389,1014218,213069,19401,55630,0.21008205336525285,0.019622189703339097,15034.0,295.0,38.142857142857146,4.0
